Unnamed: 0,Με αυτό το χρώμα ορίζονται τα κελιά εισόδου δεδομένων με ελεύθερη τιμή,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,Με αυτό το χρώμα ορίζονται τα κελιά εισόδου δεδομένων με τιμή που επιλέγεται από λίστα,,,,,,,,,,,,,,,,,,,,,,
,Τα αποτελέσματα αυτά εμφανίζονται στον χρήστη (Χρησιμέυουν για το online εργαλείο),,,,,,,,,,,,,,,,,,,,,,
,Τα λευκά κελιά δεν τα πειράζουμε,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Δεδομένα που ζητούνται από τον χρήστη,,,,,,,Δεδομένα που θεωρούμε,,,Υπολογισμοί που πραγματοποιούνται,,,Αποτελέσματα,,,,,,Τι κερδίζεις,,,,
Ετήσια κατανάλωση (kWh),11536,Μπορείτε να την υπολογίσετε αθροίζοντας τρεις συνεχόμενους εκκαθαριστικούς λογαριασμούς,Ο χρήστης συμπληρώνει μόνος του την τιμή,,,,Ποσοστό κατανάλωσης στη ζώνη κανονικής χρέωσης,0.5,,Απαιτούμενη ισχύς φ/β για πλήρη συμψηφισμό,8.002774887270204,,Μέσο κόστος  προμήθειας,0.3,,,,,Με το συνολικό σύστημα Aftonomo της EEG εξοικονομείτε περίπου,4119.5055999999995,€/έτος,θεωρείται ότι εξοικονομείται το σύνολο του κόστους προμήθειας και το μεγαλύτερο μέρος των ρυθμιζόμενων χρεώσεων (70%),
Συμφωνημένη ισχύς παροχής (kVA),35,Συνηθέστερες τιμές τα 8kVA για μονοφασικούς και τα 25kVA για τριφασικούς καταναλωτές,Ο χρήστης επιλέγει την κατάλληλη τιμή από τη λίστα τιμών που αναγράφονται,,,,Ποσοστό κατανάλωσης στη ζώνη μειωμένης χρέωσης,0.5,,Ανώτατο όριο επιτρεπόμενης εγκατεστημένης ισχύος φ/β (kW),10.8,,Ανηγμένο κόστος ρυθμιζόμενων,0.046,,,,,και συμβάλλετε στη μείωση των εκπομπών διοξειδίου του άνθρακα (CO2) κατά ,22.818208000000002,τόνους/έτος,,
Κατηγορία τιμολογίου,Γ1,"Γ1 οικιακό, Γ1Ν οικιακό νυχτερινό",Ο χρήστης επιλέγει μία από τις τρεις επιλογές. Εάν διαθέτει κοινωνικό τιμολόγιο τότε τον παραπέμπουμε να επικοινωνήσει απευθείας μαζί μας στα στοιχεία επικοινωνίας.,,,,Ταυτοχρονισμός φωτοβολταϊκής παραγωγής με την ζήτηση ενέργειας,0.3,,Προτεινομένη εγκατεστημένη ισχύς φ/β (kW),8.002774887270204,,Αναμενόμενη εξοικονόμηση με ΦΠΑ λόγω φ/β,3837.196608,Βασικό ποσό εξοικονόμησης,,,,Μήνυμα που θα εμφανίζεται στο τέλος,Μπορείτε να εισάγετε το mail σας ώστε να λάβετε περισσότερες πληροφορίες καθώς την αναλυτική περιγραφή του εξοπλισμού Aftonomo που καλύπτει 100% τις ανάγκες σας!,εισαγωγή mail,εδώ επίσης θα εμφανίζονται 2 check box στα οποία θα αναγράφεται,Επιθυμώ να λάβω mail με την περιγραφή του εξοπλισμού που χρειάζεται για την εγκατάστασή μου
Τιμή προμήθειας ηλεκτρικής ενέργειας κανονικής χρέωσης (€/kWh),0.3,Ο χρήστης συμπληρώνει μόνος του την τιμή,"Για τις διαστασιολογήσεις βάζουμε μόνοι μας την τιμή, όπως αυτή προκύπτει από τον λογαριασμό ρεύματος, έπειτα και από τον υπολογισμό των ρητρών.",,,,Συντελεστής παραγωγής,0.93,,Χωρητικότητα επιφάνειας (kW),15,,Πρόσθετη αναμενόμενη εξοικονόμηση με ΦΠΑ λόγω μπαταρίας,213.5688,Πρόσθετο ποσό εξοικονόμησης,,,,"Επίσης, εφόσον επιθυμείτε μπορείτε να εισάγετε το όνομά σας και το τηλέφωνό σας",Ονοματεπώνυμο,,,Επιθυμώ να λαμβάνω ενημερωτικά mail σχετικά με τα προϊόντα του ομίλου Eunice Energy Group
Τιμή προμήθειας ηλεκτρικής ενέργειας νυχτερινής χρέωσης (€/kWh),0.08,το πεδίο αυτό ενεργοποιείται μόνο εφόσον επιλέξει Γ21Ν,Ο χρήστης συμπληρώνει μόνος του την τιμή,,,,Ετήσια παραγωγή φ/β στην περιοχή kWh/kWp,1550.0,,Τελική επιλεγμένη ικανότητα φ/β (kW),8.002774887270204,,"Συνολική αναμενόμενη εξοικονόμηση
(με ΦΠΑ)",4050.765408,"Αν η λειτουργία της αποθήκευσης δεν προορίζεται μόνο για backup, τότε χρησιμοποιούμε αυτό το νούμερο για την εξοικονόμηση. Διαφορετικά χρησιμοποιούμε το βασικό ποσό εξοικονόμησης",,,,,Τηλέφωνο,,,
