Physical or Virtual Net Metering,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Στην περίπτωση αυτή το energy cost είναι η τιμή που έχει συμφωνηθεί στο PPA,,,,,,,,,4000,,2,,,,3,4,,,,,,,,,,,,,,,,,,,
P Installed (kWp),Unit Cost (€/kWp),Specific Yield (kWh/kWp),Monthly Consumption (kWh),Annual Consumption (kWh),Equity ,Years,interest rate,Energy Cost (€/MWh),Energy Cost Regulated (€/MWh),Loan Interest,Interest rate project,Loan ,Annual Production (kWh),Annual Degradation,O&M (€/kWp/year),Land Lease (€/year),Development Costs EUNILAB (€),Connection Cost HEDNO (€),insurance €/year,Adm Expenses (€/year),OPEX other (€/year),Annual Expenses escalation ,Bank expenses (€),Contigency (€),Taxes (%),Advance payment of taxes (%),Cost annual decrease (%),Min marginal price (€/MWh),PPA price (€/MWh),,,,,,,,,,,,,,
400,600,1465,741666.6666666666,8900000,0.2,10,0.028,70,45,0.03,0.02432,0.8,586000,0.007,6,0,1600,2000,800,2000,0,0.03,1200,1600,0.22,0.95,0,45,45,,,,,,,,,,,,,,
240000,192000,,24722.222222222223,,,,,,,,,,1123.835616438356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery energy capacity (kWh),Unit Cost (€/kWh),synchronization (%),18541.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500,0.7,18291.666666666668,,,,,physical,0,0 or 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,physical,800,,,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,Averages
Assumptions,,,,,,,,virtual,700,,,,,Production (kWh),,,,586000,581898,577824.714,573779.941002,569763.481414986,565775.137045081,561814.7110857654,557882.008108165,553976.8340514079,550098.996213048,546248.3032395566,542424.5651168798,538627.5931610616,534857.2000089342,531113.1996088717,527395.4072116097,523703.6393611284,520037.7138856005,516397.4498884013,512782.6677391825,509193.1890650082,505628.83674155315,502089.4348843623,498574.8088401717,495084.7851782905,539318.9046740426
